CustomerID,Lookalikes
C0001,"[('C0137', 0.999767711680199), ('C0152', 0.9995238094064568), ('C0107', 0.965412308914454)]"
C0002,"[('C0043', 0.986955612820625), ('C0142', 0.9768655346429007), ('C0097', 0.9602089164577082)]"
C0003,"[('C0133', 0.988627152880066), ('C0052', 0.9426540166991039), ('C0112', 0.9358061320850388)]"
C0004,"[('C0108', 0.9864115694446517), ('C0113', 0.9742589878935511), ('C0155', 0.9611045105278068)]"
C0005,"[('C0159', 0.99928550869906), ('C0123', 0.9986499173810764), ('C0178', 0.9986425022891692)]"
C0006,"[('C0168', 0.9773228399671574), ('C0158', 0.9716698894541353), ('C0171', 0.9122820552863876)]"
C0007,"[('C0140', 0.9983881322936451), ('C0193', 0.9955247368402026), ('C0080', 0.9923785167368967)]"
C0008,"[('C0139', 0.9811974641632105), ('C0109', 0.9793059064739634), ('C0098', 0.9524045249334245)]"
C0009,"[('C0060', 0.9771483403950608), ('C0010', 0.9752077903363517), ('C0121', 0.9655504673674347)]"
C0010,"[('C0199', 0.9920902718973637), ('C0009', 0.9752077903363517), ('C0121', 0.9740536473163243)]"
C0011,"[('C0107', 0.9951183871461168), ('C0048', 0.9943911013791834), ('C0152', 0.9454694053368171)]"
C0012,"[('C0102', 0.9798080965717446), ('C0155', 0.9755463006171169), ('C0013', 0.9602060717494479)]"
C0013,"[('C0087', 0.9898947587386889), ('C0099', 0.9866653208627334), ('C0188', 0.9855522481353537)]"
C0014,"[('C0198', 0.9914668026930644), ('C0060', 0.9779391588357982), ('C0062', 0.9612262030592107)]"
C0015,"[('C0144', 0.9924424237505965), ('C0036', 0.9851825614544661), ('C0131', 0.981006669115743)]"
C0016,"[('C0183', 0.9997956557241164), ('C0018', 0.870696309899757), ('C0026', 0.8256173430823189)]"
C0017,"[('C0124', 0.98497970554012), ('C0075', 0.9815581039008874), ('C0162', 0.9067264903591067)]"
C0018,"[('C0079', 0.9118195463569773), ('C0117', 0.8975479834297877), ('C0016', 0.870696309899757)]"
C0019,"[('C0172', 0.9999888292007633), ('C0111', 0.9372981671685023), ('C0119', 0.9219063162116552)]"
C0020,"[('C0042', 0.9581111758881175), ('C0176', 0.9565316184695419), ('C0110', 0.9504595854100374)]"
